

HBO

                          Time                                       Show
0   Today's Full ScheduleToday  Displaying Current & Upcoming Shows Only.
1                      03:05PM         Batman v Superman: Dawn of Justice
2                      06:12PM                            The Conjuring 2
3                      09:00PM                 XXx: Return of Xander Cage
4                      11:05PM                                   Iron Man
5                      01:08AM                              The Godfather
6                      04:29AM                                  Jonah Hex
7                      06:00AM                        Wrong Turn at Tahoe
8                      07:12AM                             Monkey Trouble
9                      09:01AM                                  Beethoven
10                     10:31AM                         The Last Airbender
11                     12:25PM                              Kung Fu Panda

MOVIES NOW

                          Time                                       Show
0   Today's Full ScheduleToday  Displaying Current & Upcoming Shows Only.
1                      03:50PM                             Shaolin Soccer
2                      06:05PM                              Casino Royale
3                      09:00PM                      The Magnificent Seven
4                      11:50PM                                       Thor
5                      01:50AM                                  Robocop 2
6                      03:30AM               Dirty Dancing: Havana Nights
7                      04:55AM                                 Alex Cross
8                      06:25AM                                     Batman
9                      09:00AM                                     WALL-E
10                     11:00AM                                   Catwoman
11                     01:15PM                                    Species

MNX

                          Time                                       Show
0   Today's Full ScheduleToday  Displaying Current & Upcoming Shows Only.
1                      03:10PM                        The Matrix Reloaded
2                      05:30PM                              Vampires Suck
3                      07:05PM                                   Poseidon
4                      09:00PM                      The Magnificent Seven
5                      11:35PM                                   Rocky IV
6                      01:30AM                               Big Business
7                      03:00AM                               Little Nicky
8                      04:10AM    Alvin and the Chipmunks: The Squeakquel
9                      05:40AM                                Pitch Black
10                     07:40AM                                Seventh Son
11                     09:20AM                          The Expendables 3
12                     11:30AM        The Hobbit: The Desolation of Smaug

STAR MOVIES

                          Time                                       Show
0   Today's Full ScheduleToday  Displaying Current & Upcoming Shows Only.
1                      03:27PM                                   I, Robot
2                      05:51PM                 Captain America: Civil War
3                      09:00PM                             Doctor Strange
4                      11:25PM                                 Iron Man 3
5                      02:03AM                           Last Action Hero
6                      04:07AM                                     Filler
7                      04:26AM                      Live Free or Die Hard
8                      06:29AM    Night at the Museum: Secret of the Tomb
9                      08:26AM                Alien vs. Predator: Requiem
10                     10:19AM                                       Cars
11                     12:37PM                                 Real Steel

WB

                          Time                                       Show
0   Today's Full ScheduleToday  Displaying Current & Upcoming Shows Only.
1                      02:34PM                                     Easy A
2                      04:03PM                                    Wrecker
3                      05:19PM                          National Security
4                      06:50PM                                     The 33
5                      09:00PM                                    Shooter
6                      11:11PM                                   The Crew
7                      01:20AM                           Half Past Dead 2
8                      02:50AM                             Zero Tolerance
9                      04:14AM                                  Spotlight
10                     04:18AM                             The Stepfather
